Element,Stage,StageName,Full_Prompt,Suggested_FileName
Fire,1,Wisp,"A small, ethereal flame spirit floating gently, ember-like body with glowing orange core, translucent wispy tendrils of fire, newborn fire elemental, cute but mystical, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",fire_stage1_wisp.png
Fire,2,Blaze,"A majestic fire dragon warrior, blazing mane of living flames, armored scales in crimson and gold, powerful stance with fire erupting from shoulders, medium evolution fire creature, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",fire_stage2_blaze.png
Fire,3,Inferno,"An apocalyptic phoenix god engulfed in a supernova of flames, cosmic fire deity, molten core visible through crystalline flame body, universe-ending power contained in majestic form, final evolution fire elemental, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",fire_stage3_inferno.png
Water,1,Wisp,"A delicate water droplet sprite, crystalline translucent body with iridescent sparkles, gentle ripples emanating from core, newborn water elemental, serene and ethereal, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",water_stage1_wisp.png
Water,2,Blaze,"A powerful sea serpent guardian, bio-luminescent scales in deep ocean blue, coral crown and flowing fins like ocean currents, medium evolution water creature, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",water_stage2_blaze.png
Water,3,Inferno,"An ancient ocean god leviathan, entire body made of crystallized deep sea water, bioluminescent patterns like an abyssal kingdom, final evolution water deity controlling tides, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",water_stage3_inferno.png
Wind,1,Wisp,"A playful wind sylph, body made of swirling transparent air currents, leaves and petals caught in its form, newborn wind elemental, light and carefree, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",wind_stage1_wisp.png
Wind,2,Blaze,"A swift storm falcon warrior, feathers made of condensed wind and lightning, wings creating vortexes, medium evolution wind creature, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",wind_stage2_blaze.png
Wind,3,Inferno,"A divine tempest god, body is a contained hurricane with an eye of pure calm, wings spanning dimensions creating cosmic storms, final evolution wind deity, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",wind_stage3_inferno.png
Earth,1,Wisp,"A small stone golem spirit, body of polished pebbles and moss, gentle amber glow from cracks, newborn earth elemental, sturdy yet adorable, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",earth_stage1_wisp.png
Earth,2,Blaze,"A mighty crystal titan, body of living bedrock with gemstone formations, ancient runes glowing on stone skin, medium evolution earth creature, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",earth_stage2_blaze.png
Earth,3,Inferno,"An primordial world-tree colossus, body is a living mountain ecosystem, crystalline core of the planet visible within, forests and rivers flowing across form, final evolution earth deity, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",earth_stage3_inferno.png
Light,1,Wisp,"A gentle starlight fairy, body made of warm golden light particles, tiny halo of pure radiance, newborn light elemental, innocent and pure, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",light_stage1_wisp.png
Light,2,Blaze,"A noble solar knight, armor of crystallized sunlight, radiant wings of pure dawn energy, sword of condensed starfire, medium evolution light creature, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",light_stage2_blaze.png
Light,3,Inferno,"An omniscient celestial being, body is a living galaxy of stars and nebulae, eyes containing entire universes, wings of aurora borealis spanning reality, final evolution light deity, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",light_stage3_inferno.png
Shadow,1,Wisp,"A curious shadow wisp, body of swirling dark mist with purple glints, single glowing eye in the darkness, newborn shadow elemental, mysterious but not menacing, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",shadow_stage1_wisp.png
Shadow,2,Blaze,"A cunning void assassin, sleek body of living darkness with violet energy lines, multiple eyes seeing through dimensions, medium evolution shadow creature, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",shadow_stage2_blaze.png
Shadow,3,Inferno,"An ancient void emperor, body is a tear in reality showing infinite darkness beyond, crown of dying stars, cape of event horizons, final evolution shadow deity of entropy, cinematic lighting, photorealistic, 8k, highly detailed textures, dark fantasy style, unreal engine 5 render, biological realism --ar 1:1",shadow_stage3_inferno.png
